product_id,product_name,category,avg_price
115,Jump Rope Speed,Sports & Outdoors,49.28
116,Pull-up Bar,Sports & Outdoors,47.29
117,Resistance Bands Set,Sports & Outdoors,44.44
118,Tennis Racket,Sports & Outdoors,50.57
119,Water Bottle 1L,Sports & Outdoors,45.02
120,Yoga Mat Non-slip,Sports & Outdoors,47.63
121,Action Figure Set,Toys & Games,41.3
122,Art Supply Kit,Toys & Games,39.59
123,Board Game Strategy,Toys & Games,37.52
124,Card Game Party,Toys & Games,43.62
125,Educational Tablet,Toys & Games,43.32
126,LEGO City Set,Toys & Games,41.22
127,Outdoor Frisbee,Toys & Games,42.44
128,Puzzle 1000pc,Toys & Games,40.54
129,Remote Control Car,Toys & Games,42.06
130,Stuffed Animal Bear,Toys & Games,41.19
131,Compression Socks,Travel & Luggage,104.24
132,Eye Mask Sleep,Travel & Luggage,98.38
133,"Hardshell Luggage 24""",Travel & Luggage,103.55
134,Money Belt,Travel & Luggage,100.35
135,Packing Cubes 6-Set,Travel & Luggage,88.31
136,Passport Holder RFID,Travel & Luggage,89.34
137,Portable Scale,Travel & Luggage,92.78
138,Toiletry Bag,Travel & Luggage,101.59
139,Travel Adapter Universal,Travel & Luggage,88.5
140,Travel Pillow Memory Foam,Travel & Luggage,103.51
